Date,EBH,WBH,TH,EBM,WBM,TM
2018-07-27,2331,2202,4533,2419,2206,4625
2018-07-28,1509,1418,2927,1778,1687,3465
2018-07-29,1509,1483,2992,1812,1766,3578
2018-07-30,2404,2232,4636,2447,2240,4687
2018-07-31,2612,2411,5023,2709,2328,5037
2018-08-01,2361,2330,4691,2494,2335,4829
2018-08-02,2504,2358,4862,2604,2290,4894
2018-08-03,2096,1936,4032,2229,1982,4211
2018-08-04,1357,1349,2706,1588,1491,3079
2018-08-05,1246,1191,2437,1567,1459,3026
2018-08-06,993,959,1952,1165,1030,2195
2018-08-07,2087,1960,4047,2249,1979,4228
2018-08-08,1216,1123,2339,1276,1226,2502
2018-08-09,2428,2181,4609,2517,2145,4662
2018-08-10,2338,2101,4439,2455,2196,4651
2018-08-11,1647,1571,3218,1950,1714,3664
2018-08-12,1550,1476,3026,1830,1636,3466
2018-08-13,2419,2190,4609,2527,2164,4691
2018-08-14,2731,2480,5211,2839,2511,5350
2018-08-15,2523,2373,4896,2647,2351,4998
2018-08-16,2280,2078,4358,2361,2125,4486
2018-08-17,1479,1350,2829,1530,1351,2881
2018-08-18,1527,1394,2921,1786,1575,3361
2018-08-19,1140,1592,2732,1470,1599,3069
2018-08-20,2357,2144,4501,2359,2126,4485
2018-08-21,853,779,1632,878,797,1675
2018-08-22,2174,2037,4211,2337,2092,4429
2018-08-23,2519,2200,4719,2532,2244,4776
2018-08-24,2319,2101,4420,2402,2233,4635
2018-08-25,1127,1056,2183,1337,1293,2630
2018-08-26,1431,1346,2777,1667,1517,3184
2018-08-27,1791,1635,3426,1825,1660,3485
2018-08-28,2389,2136,4525,2422,2120,4542
2018-08-29,2180,2082,4262,2266,2110,4376
2018-08-30,2290,2072,4362,2384,2096,4480
2018-08-31,2174,1944,4118,2255,2064,4319
2018-09-01,1380,1306,2686,1629,1461,3090
2018-09-02,1238,1194,2432,1511,1415,2926
2018-09-03,1283,1202,2485,1482,1357,2839
2018-09-04,2483,2341,4824,2572,2348,4920
2018-09-05,2601,2337,4938,2619,2261,4880
2018-09-06,2478,2368,4846,2408,2232,4640
2018-09-07,2581,2311,4892,2549,2361,4910
2018-09-08,1647,1524,3171,1766,1725,3491
2018-09-09,1250,1169,2419,1409,1313,2722
2018-09-10,487,460,947,497,458,955
2018-09-11,2535,2326,4861,2502,2297,4799
2018-09-12,2756,2532,5288,2712,2386,5098
2018-09-13,2751,2532,5283,2735,2449,5184
2018-09-14,2524,2264,4788,2468,2285,4753
2018-09-15,1731,1645,3376,1943,1748,3691
